Area Code,Area,Item Code,Item,Element Code,Element,Source Code,Source,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
"20","Botswana","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700"
"20","Botswana","6749","Carbon stock change in forests","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700","40513.806700"
"21","Brazil","6751","Forestland","5110","Area","3050","FAO TIER 1","1000 ha","588898.000000","585117.060000","581336.120000","577555.180000","573774.240000","569993.300000","566212.360000","562431.420000","558650.480000","554869.540000","551088.600000","547137.810000","543187.020000","539236.230000","535285.440000","531334.650000","527383.860000","523433.070000","519482.280000","515531.490000","511580.700000","510041.520000","508502.340000","506963.160000","505423.980000","503884.800000","502431.760000","500978.720000","499525.680000","498072.640000","496619.600000"
"21","Brazil","6751","Forestland","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","-346950.841200","-346950.841200","-346950.841200","-346950.841200","-346950.841200","-346950.841200","-346950.841200","-346950.841200","-346950.841200","-346950.841200","-346950.841200","-504292.957300","-504292.957300","-504292.957300","-504292.957300","-504292.957300","-504292.957300","-504292.957300","-504292.957300","-504292.957300","-504292.957300","-519221.812300","-519221.812300","-519221.812300","-519221.812300","-519221.812300","-269412.844800","-269412.844800","-269412.844800","-269412.844800","-269412.844800"
"21","Brazil","6751","Forestland","72332","Net emissions/removals (CO2) (Forest land)","3051","UNFCCC","kilotonnes",,,,,"-355019.000000",,,,,,"-393934.000000",,,,,,,,,,"-747259.000000",,"-774724.000000",,,"-774724.000000",,,,,
"21","Brazil","6750","Net Forest conversion","5110","Area","3050","FAO TIER 1","1000 ha","3790.350000","3790.350000","3790.350000","3790.350000","3790.350000","3790.350000","3790.350000","3790.350000","3790.350000","3790.350000","3790.350000","4318.400000","4318.400000","4318.400000","4318.400000","4318.400000","4318.400000","4318.400000","4318.400000","4318.400000","4318.400000","2061.100000","2061.100000","2061.100000","2061.100000","2061.100000","1710.180000","1710.180000","1710.180000","1710.180000","1710.180000"
"21","Brazil","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","1385208.676500","1385208.676500","1385208.676500","1385208.676500","1385208.676500","1385208.676500","1385208.676500","1385208.676500","1385208.676500","1385208.676500","1385208.676500","1605106.096000","1605106.096000","1605106.096000","1605106.096000","1605106.096000","1605106.096000","1605106.096000","1605106.096000","1605106.096000","1605106.096000","780902.697700","780902.697700","780902.697700","780902.697700","780902.697700","653402.772000","653402.772000","653402.772000","653402.772000","653402.772000"
"21","Brazil","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","3051","UNFCCC","kilotonnes",,,,,,,"979523.618500","979523.618500","979523.618500","979523.618500","979523.849400","908964.575400","1334458.299000","1375224.078000","1380142.199000","1163879.135000","576136.731100","609101.478200","669215.058100","373066.456700","362507.086900","285507.794600","236684.154400","301847.850900","273591.600600","287665.246400",,,,,
"21","Brazil","6749","Carbon stock change in forests","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","1038257.835300","1038257.835300","1038257.835300","1038257.835300","1038257.835300","1038257.835300","1038257.835300","1038257.835300","1038257.835300","1038257.835300","1038257.835300","1100813.138700","1100813.138700","1100813.138700","1100813.138700","1100813.138700","1100813.138700","1100813.138700","1100813.138700","1100813.138700","1100813.138700","261680.885400","261680.885400","261680.885400","261680.885400","261680.885400","383989.927200","383989.927200","383989.927200","383989.927200","383989.927200"
"239","British Virgin Islands","6751","Forestland","5110","Area","3050","FAO TIER 1","1000 ha","3.710000","3.706000","3.702000","3.698000","3.694000","3.690000","3.686000","3.682000","3.678000","3.674000","3.670000","3.667000","3.664000","3.661000","3.658000","3.655000","3.652000","3.649000","3.646000","3.643000","3.640000","3.636000","3.632000","3.628000","3.624000","3.620000","3.620000","3.620000","3.620000","3.620000","3.620000"
"26","Brunei Darussalam","6751","Forestland","5110","Area","3050","FAO TIER 1","1000 ha","413.000000","411.400000","409.800000","408.200000","406.600000","405.000000","403.400000","401.800000","400.200000","398.600000","397.000000","395.300000","393.600000","391.900000","390.200000","388.500000","386.800000","385.100000","383.400000","381.700000","380.000000","380.000000","380.000000","380.000000","380.000000","380.000000","380.000000","380.000000","380.000000","380.000000","380.000000"
"26","Brunei Darussalam","6751","Forestland","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","-33.780300","-33.780300","-33.780300","-33.780300","-33.780300","-33.780300","-33.780300","-33.780300","-33.780300","-33.780300","-33.780300","-126.676000","-126.676000","-126.676000","-126.676000","-126.676000","-126.676000","-126.676000","-126.676000","-126.676000","-126.676000","-145.677400","-145.677400","-145.677400","-145.677400","-145.677400","-17.945800","-17.945800","-17.945800","-17.945800","-17.945800"
